id,name,popularity,duration_min,release_year,tempo_category,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
4iJyoBOLtHqaGxP12qzhQI,Peaches (feat. Daniel Caesar & Giveon),100,3.3,2021,medium,0.677,0.696,0,-6.181,1,0.119,0.321,0.0,0.42,0.464,90.03,4
7lPN2DXiMsVn7XUKtOW1CS,drivers license,99,4.03,2021,fast,0.585,0.436,10,-8.761,1,0.0601,0.721,1.31e-05,0.105,0.132,143.874,4
3Ofmpyhv5UAQ70mENzB277,Astronaut In The Ocean,98,2.21,2021,fast,0.778,0.695,4,-6.865,0,0.0913,0.175,0.0,0.15,0.472,149.996,4
5QO79kh1waicV47BqGRL3g,Save Your Tears,97,3.59,2020,medium,0.68,0.826,0,-5.487,1,0.0309,0.0212,1.24e-05,0.543,0.644,118.051,4
0VjIjW4GlUZAMYd2vXMi3b,Blinding Lights,96,3.33,2020,fast,0.514,0.73,1,-5.934,1,0.0598,0.00146,9.54e-05,0.0897,0.334,171.005,4
4cG7HUWYHBV6R6tHn1gxrl,Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,94,2.82,2021,medium,0.824,0.862,2,-3.424,1,0.126,0.0076,0.000132,0.303,0.801,122.98,4
1xK1Gg9SxG8fy2Ya373oqb,Bandido,94,3.88,2020,fast,0.713,0.617,8,-4.637,1,0.0887,0.122,0.0,0.0962,0.682,168.021,4
27OeeYzk6klgBh83TSvGMA,WITHOUT YOU,94,2.69,2020,medium,0.662,0.413,0,-7.357,1,0.0299,0.213,0.0,0.134,0.467,93.005,4
60ynsPSSKe6O3sfwRnIBRf,Streets,94,3.78,2019,medium,0.749,0.463,11,-8.433,1,0.0828,0.208,0.0371,0.337,0.19,90.028,4
2XIc1pqjXV3Cr2BQUGNBck,LA NOCHE DE ANOCHE,93,3.39,2020,slow,0.856,0.618,7,-4.892,1,0.286,0.0303,0.0,0.0866,0.391,81.993,4
3YJJjQPAbDT7mGpX3WtQ9A,Good Days,93,4.65,2020,medium,0.436,0.655,1,-8.37,0,0.0583,0.499,8.1e-06,0.688,0.412,121.002,4
47EiUVwUp4C9fGccaPuUCS,DÁKITI,92,3.42,2020,medium,0.731,0.573,4,-10.059,0,0.0544,0.401,5.22e-05,0.113,0.145,109.928,4
3iw6V4LH7yPj1ESORX9RIN,Wellerman - Sea Shanty / 220 KID x Billen Ted Remix,92,1.95,2021,medium,0.722,0.893,0,-3.255,0,0.0475,0.0441,0.000937,0.0673,0.439,119.932,4
35mvY5S1H3J2QZyna3TFe0,positions,92,2.87,2020,fast,0.737,0.802,0,-4.771,1,0.0878,0.468,0.0,0.0931,0.682,144.015,4
5uEYRdEIh9Bo4fpjDd4Na9,Goosebumps - Remix,92,2.71,2021,medium,0.841,0.593,1,-7.846,1,0.0379,0.418,0.0,0.124,0.808,124.917,4
6UelLqGlWMcVH1E5c4H7lY,Watermelon Sugar,92,2.9,2019,medium,0.548,0.816,0,-4.209,1,0.0465,0.122,0.0,0.335,0.557,95.39,4
1XXimziG1uhM0eDNCZCrUl,Up,92,2.62,2021,fast,0.868,0.795,11,-6.044,1,0.269,0.0012,0.0193,0.0461,0.819,166.0,4
3VvA1wSxukMLsvXoXtlwWx,Hecha Pa' Mi,92,3.1,2020,medium,0.725,0.756,4,-5.013,1,0.0572,0.362,0.000685,0.103,0.828,100.07,4
6ft4hAq6yde8jPZY2i5zLr,Paradise (feat. Dermot Kennedy),92,2.8,2020,medium,0.632,0.595,8,-7.644,0,0.0401,0.0689,0.0,0.209,0.435,124.114,4
